,Price (EUR/MWhe)
1528156,0.026343975339602067
1528157,0.05259245011917063
1528158,0.131948863413097
1528159,0.11457513654517645
1528160,0.06583525786563754
1528161,0.04332426080711503
1528162,-0.022257995577553702
1528163,-0.01813935872658515
1528164,-0.0029269065029761906
1528165,-0.037568268639748444
1528166,-0.0636525876740653
1528167,-0.004105376960011921
1528168,0.05583387878197174
1528169,0.03504101139270472
1528170,0.027783852290129543
1528171,0.0
1528172,-0.0306051707759847
1528173,-0.07122645585784494
1528174,-0.034814456549858
1528175,-0.2552864048747499
1528176,-0.0721517188789569
1528177,-0.04684290876007481
1528178,0.0
1528179,-0.025962131613231094
1528180,-0.037139546949456655
1528181,0.0
1528182,0.01582014493186235
1528183,0.023920183717651835
1528184,0.0750351859429141
1528185,0.03550668845690982
1528186,0.009028884116696945
1528187,-0.061546918400143355
1528188,0.049723435352430574
1528189,-0.020735898479178276
1528190,-0.06899287148695143
1528191,0.008636070946053936
1528192,0.09291618206778855
1528193,0.36205340175223344
1528194,0.06039806138046972
1528195,0.02726832141400687
1528196,-0.0016182423538774922
1528197,-0.04671634428969066
1528198,-0.08027414451159928
1528199,-0.20033641499773125
1528200,-0.07681399312468766
1528201,-0.09332714511239597
1528202,-0.007290433262679232
1528203,0.00024387269966008016
1528204,0.04854629146977183
1528205,0.1337346240041472
1528206,0.23119880748389965
1528207,0.029867192252465435
1528208,0.09133238743510716
1528209,0.009808878133503623
1528210,-0.0024077626531932204
1528211,-0.04956329335952148
1528212,-0.04277343292657421
1528213,-0.036263968881787075
1528214,-0.020363984634214505
1528215,0.020363984634214526
1528216,0.023744243536859496
1528217,0.04164055704431657
1528218,0.05151985482351563
1528219,-0.029261859245962023
1528220,-0.07196247488667856
1528221,-0.143674970098631
1528222,0.008032171697264253
1528223,-0.17500294871357336
1528224,-0.09466061823552929
1528225,-0.028987536873252413
1528226,-0.02758281461514202
1528227,-0.012422519998556984
1528228,0.02020270731751947
1528229,0.11622626896813235
1528230,0.26118224135750684
1528231,0.06406703530555832
1528232,0.062325463197828786
1528233,0.03444521051295644
1528234,-0.03007411304155559
1528235,-0.04900826585832835
1528236,-0.023492890276868576
1528237,-0.07346135072802308
1528238,0.002259887967437504
1528239,0.05242999832918269
1528240,0.03034715638929196
1528241,0.07020696793309225
1528242,0.04501524686161764
1528243,-0.015793580258141354
1528244,-0.0783918761593722
1528245,-0.03261245033508529
1528246,-0.034213863454604775
1528247,-0.1733259938853767
1528248,-0.15070719586044523
1528249,-0.003941120205000135
1528250,0.003709719070102007
1528251,-0.00370971907010213
1528252,0.08416179232171066
1528253,0.25925491665231337
1528254,0.11416984450920573
1528255,0.0491890682382942
