,Price (EUR/MWhe)
1868857,-0.18979485533052712
1868858,-0.09035609804442543
1868859,-0.007388496242670789
1868860,0.03033940567099388
1868861,0.3337806580488292
1868862,0.0603681248638446
1868863,0.006323249634827626
1868864,-0.025536498409848712
1868865,-0.008787067045090802
1868866,-0.019372942187364985
1868867,0.01360036506468469
1868868,-0.019092728812710565
1868869,0.052119074501718425
1868870,0.02689423467345678
1868871,0.029018693889035687
1868872,0.0014114328384078085
1868873,-0.0063671951933925814
1868874,-0.013216838224660707
1868875,-0.012665267906048435
1868876,-0.014673777597183123
1868877,-0.02469261259037152
1868878,-0.3631896249599261
1868879,-0.03210015510658581
1868880,-0.6142299654081437
1868881,-0.2265276492984502
1868882,0.34500344563373453
1868883,0.7592426607526312
1868884,0.12037259256311723
1868885,0.04311820678060529
1868886,0.040278727711506944
1868887,0.0
1868888,-0.0017639799952409506
1868889,-0.0007064641763271062
1868890,0.003175165835687813
1868891,-0.0031751658356879236
1868892,-0.0021223920241507173
1868893,-0.00425834568257708
1868894,0.0039041753229337225
1868895,0.012671764068822491
1868896,0.00488486665697775
1868897,-0.00873978644742318
1868898,-0.0035174148118784394
1868899,-0.01885170535860352
1868900,-0.01446679841775349
1868901,-0.009149194653587977
1868902,-0.047430794413653755
1868903,-0.38959327668929206
1868904,-0.04065600564112885
1868905,-1.076337041748618
1868906,-0.12192202424682767
1868907,0.4061197726159977
1868908,1.1383866141559211
1868909,-0.0397743254878114
1868910,0.15452458149547676
1868911,0.00856137743759437
1868912,0.01981716228553313
1868913,0.007241161256559474
1868914,0.00036068530598416516
1868915,-0.0025275333910745163
1868916,-0.00036159826826841294
1868917,0.0057699402775296706
1868918,0.019936580574886512
1868919,0.029863330302394502
1868920,0.010211116632676707
1868921,0.0074224362358074406
1868922,-0.009795720957154475
1868923,-0.026484781041210742
1868924,-0.026847250036188052
1868925,-0.00826896676379257
1868926,-0.016378892084039743
1868927,0.010949014489670523
1868928,-0.006189715738620741
1868929,-0.007699396422046412
1868930,-0.0051660631499001524
1868931,0.0003698908864069603
1868932,0.005532007469616018
1868933,-0.0022091319735390983
1868934,-0.0025835039281984448
1868935,0.020845516192683128
1868936,0.014373226241371748
1868937,0.007464047448344352
1868938,0.0028288562004778446
1868939,-0.0028288562004777137
1868940,0.0010617590804577071
1868941,0.0017670971200201115
1868942,0.013328853940056415
1868943,0.030201334517078373
1868944,0.01142869582362285
1868945,-0.00033428046441986943
1868946,-0.004691697614171662
1868947,-0.010807264930089294
1868948,-0.013331251955458836
1868949,-0.0010328801055981844
1868950,-0.03541123712767759
1868951,0.03644411723327588
1868952,-0.006213344117511323
1868953,-0.0003463203497817232
1868954,0.0034578181064153063
1868955,0.012690960933576646
1868956,0.03318554898565411
1868957,0.03435204915337249
1868958,0.0451579137303653
1868959,0.1393381911108062
1868960,0.07204340152332224
1868961,-0.022937929137498862
1868962,0.00803822464237508
1868963,-0.006526127580071996
1868964,0.025361876517160917
1868965,0.002941899645690762
1868966,0.02514031365293163
1868967,0.06983599491129903
1868968,0.16973901731442345
1868969,0.029250511873359197
1868970,-0.16012849438317342
1868971,-0.09306430965546861
1868972,-0.1794584443736791
1868973,-0.0881368695113643
1868974,-0.08088765913910068
1868975,-0.0003330557899231128
1868976,-0.007019918515335892
1868977,-0.013509155124076386
1868978,-0.010252994808371777
1868979,0.013308505588242335
1868980,0.004734537082111923
1868981,0.0010116338748444476
1868982,0.012060447692508473
1868983,0.015529801618127056
1868984,-0.004930166107858609
1868985,0.005913289241279283
1868986,-0.001967213749168925
1868987,-0.013547208672789274
1868988,-0.0026648916503767455
1868989,0.00033350008646598604
1868990,0.01620673805752781
1868991,0.011417511079613299
1868992,0.0067884534169590696
1868993,-0.016894488898761686
1868994,-0.017518213655338517
1868995,-0.012751850647417828
1868996,-0.015657229316998592
1868997,-0.036329527878060895
1868998,-0.02850635021585114
1868999,-0.03615075971521796
1869000,-0.010299537928919248
1869001,-0.0019190180519780462
1869002,0.005363997535580441
1869003,0.0215468551317425
1869004,0.04996481324464343
1869005,0.07403173811518678
1869006,0.09148872992533386
1869007,0.02500874606014285
1869008,-0.02169798306609616
1869009,0.022579687752165407
1869010,-0.012117777952995042
1869011,-0.015583174193023368
1869012,0.0027145243632881425
1869013,0.012273765814571238
1869014,0.10040927220862336
1869015,0.0698894912905864
1869016,0.045858224896347596
1869017,-0.14885154596551584
1869018,-0.07988045843517261
1869019,-0.06439792642169234
1869020,-0.04200092397463083
1869021,-0.0382560311555367
1869022,-0.04449924407284095
1869023,-0.03557247980624827
1869024,-0.05585010813073216
1869025,-0.020145725637114222
1869026,-0.005305052229693117
1869027,0.004083304979370781
1869028,0.059329378057603015
1869029,0.0793334877856527
1869030,0.04236744743988251
1869031,0.008464584143882467
1869032,-0.004731336977514314
1869033,0.0016923341321140423
1869034,0.005059885985172437
1869035,0.0
1869036,0.004364619989052834
1869037,0.012319117005982302
1869038,0.01998428505346543
1869039,0.02751293180477044
1869040,0.010671789918237369
1869041,-0.031074155241578992
1869042,-0.022143529321830335
1869043,-0.031100985196981953
1869044,-0.02824851973237061
1869045,-0.04356276073428043
1869046,-0.055914018820005885
1869047,-0.0007722008105723445
1869048,-0.020289420152255738
1869049,-0.007914564463966002
1869050,-0.001988467547226646
1869051,0.013444251529262449
1869052,0.05427392252568816
1869053,0.04687506623333262
1869054,0.03728005299329649
1869055,0.01594605459293851
1869056,-0.020401931716984418
1869057,0.021411183274477025
1869058,0.02392140643500687
1869059,0.0016401512615625664
1869060,-0.01852517416711997
1869061,-0.026388540681828266
1869062,0.010232012869973144
